class_folder,folder_code,item_id,sku,name,category,mapping_method,folder_code_matches_sku,photo_count,exact_unique_count,exact_duplicate_files,readable_count,format_mismatch_count,min_width,min_height,quality_flags,train,validation,test,object_detection_annotations,training_use,manual_visual_review
T003_Screwdriver,T003,item-t003,T003,Screwdriver,Tools & Equipment,image_reference,True,42,42,0,42,0,3024,3060,,29,7,6,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T004_GlueGun,T004,item-t004,T004,Glue gun,Tools & Equipment,image_reference,True,36,36,0,36,0,2268,2268,,24,4,8,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T005_MeasuringTape,T005,item-t005,T005,Measure Tape,Tools & Equipment,image_reference,True,47,47,0,47,0,2268,3213,,31,11,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T006_Cutter,T006,item-t006,T006,Cutter,Tools & Equipment,image_reference,True,21,21,0,21,0,3213,3213,,16,1,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T007_CuttingMat,T007,item-t007,T007,Cutting Mat,Tools & Equipment,image_reference,True,20,20,0,20,0,4080,3060,,15,2,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T008_SolderPen,T008,item-t008,T008,Solder Pen,Tools & Equipment,image_reference,True,21,21,0,21,0,3024,4032,,15,4,2,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T009_SolderWire,T009,item-t009,T009,Solder Wire,Tools & Equipment,image_reference,True,21,21,0,21,0,3024,4032,,14,4,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T010_SmokeAbsorber,T010,item-t010,T010,Smoke Absorber,Tools & Equipment,image_reference,True,20,20,0,20,0,3024,3024,,11,5,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T011_Hammer,T011,item-t011,T011,Hammer,Tools & Equipment,image_reference,True,23,23,0,23,0,3024,4032,,15,3,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T012_Mallet,T012,item-t012,T012,Mallet,Tools & Equipment,image_reference,True,22,22,0,22,0,3024,4032,,18,3,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T013_ScrewPhillips,T013,item-t013,T013,Screw Phillips,Tools & Equipment,image_reference,True,22,22,0,22,0,3024,4032,,20,1,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T014_Spanner,T014,item-t014,T014,Spanner,Tools & Equipment,image_reference,True,35,35,0,35,0,3024,4032,,25,4,6,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
T015_Caliper,T015,item-t015,T015,Caliper,Tools & Equipment,image_reference,True,23,23,0,23,0,3024,4032,,17,2,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
